
IDS609012,Imaginary Place,SA,CST,-30.1,137.8,11/04:20pm,63516465313,133.510,82.0,Pretty much black,1.2,2000000,6451,Everywhere,822,83521,
IDS609012,Imaginary Place,SA,CST,-30.1,137.8,11/04:20pm,63516465313,133.510,82.0,Pretty much black,1.2,2000000,6451,Everywhere,822,83521,
IDS609012,Imaginary Place,SA,CST,-30.1,137.8,11/04:20pm,63516465313,133.510,82.0,Pretty much black,1.2,2000000,6451,Everywhere,822,83521,
IDS609012,Imaginary Place,SA,CST,-30.1,137.8,11/04:20pm,63516465313,133.510,82.0,Pretty much black,1.2,2000000,6451,Everywhere,822,83521,
IDS609012,Imaginary Place,SA,CST,-30.1,137.8,11/04:20pm,63516465313,133.510,82.0,Pretty much black,1.2,2000000,6451,Everywhere,822,83521,
IDS609012,Imaginary Place,SA,CST,-30.1,137.8,11/04:20pm,63516465313,133.510,82.0,Pretty much black,1.2,2000000,6451,Everywhere,822,83521,
IDS609012,Imaginary Place,SA,CST,-30.1,137.8,11/04:20pm,63516465313,133.510,82.0,Pretty much black,1.2,2000000,6451,Everywhere,822,83521,
IDS609012,Imaginary Place,SA,CST,-30.1,137.8,11/04:20pm,63516465313,133.510,82.0,Pretty much black,1.2,2000000,6451,Everywhere,822,83521,
IDS609012,Imaginary Place,SA,CST,-30.1,137.8,11/04:20pm,63516465313,133.510,82.0,Pretty much black,1.2,2000000,6451,Everywhere,822,83521,
IDS609012,Imaginary Place,SA,CST,-30.1,137.8,11/04:20pm,63516465313,133.510,82.0,Pretty much black,1.2,2000000,6451,Everywhere,822,83521,
IDS609012,Imaginary Place,SA,CST,-30.1,137.8,11/04:20pm,63516465313,133.510,82.0,Pretty much black,1.2,2000000,6451,Everywhere,822,83521,
IDS609012,Imaginary Place,SA,CST,-30.1,137.8,11/04:20pm,63516465313,133.510,82.0,Pretty much black,1.2,2000000,6451,Everywhere,822,83521,
IDS609012,Imaginary Place,SA,CST,-30.1,137.8,11/04:20pm,63516465313,133.510,82.0,Pretty much black,1.2,2000000,6451,Everywhere,822,83521,
IDS609012,Imaginary Place,SA,CST,-30.1,137.8,11/04:20pm,63516465313,133.510,82.0,Pretty much black,1.2,2000000,6451,Everywhere,822,83521,
IDS609012,Imaginary Place,SA,CST,-30.1,137.8,11/04:20pm,63516465313,133.510,82.0,Pretty much black,1.2,2000000,6451,Everywhere,822,83521,
IDS60901,Adelaide (West Terrace /  ngayirdapira),SA,CST,-34.9,138.6,15/04:00pm,20230715160000,13.3,9.5,Partly cloudy,5.7,1023.9,60,S,15,8,
IDS60901,Adelaide (West Terrace /  ngayirdapira),SA,CST,-34.9,138.6,15/04:00pm,20230715160000,13.3,9.5,Partly cloudy,5.7,1023.9,60,S,15,8,
IDS609012,Imaginary Place,SA,CST,-30.1,137.8,11/04:20pm,63516465313,133.510,82.0,Pretty much black,1.2,2000000,6451,Everywhere,822,83521,
IDS60901,Adelaide (West Terrace /  ngayirdapira),SA,CST,-34.9,138.6,15/04:00pm,20230715160000,13.3,9.5,Partly cloudy,5.7,1023.9,60,S,15,8,
IDS60901,Adelaide (West Terrace /  ngayirdapira),SA,CST,-34.9,138.6,15/04:00pm,20230715160000,13.3,9.5,Partly cloudy,5.7,1023.9,60,S,15,8,
